known,known_for_real,prediction,label,accuracy,ood,type1_ood_error,moving_avg
False,False,0,29,-1.0,1.0,-1.0,-1.0
False,False,0,0,-1.0,1.0,-1.0,-1.0
False,False,2,11,-1.0,1.0,-1.0,-1.0
False,False,1,1,-1.0,1.0,-1.0,-1.0
False,False,4,86,-1.0,1.0,-1.0,-1.0
False,False,4,90,-1.0,1.0,-1.0,-1.0
False,False,2,28,-1.0,1.0,-1.0,-1.0
False,False,5,23,-1.0,1.0,-1.0,-1.0
True,False,1,31,-1.0,0.9,-1.0,-1.0
False,False,5,39,-1.0,0.9090909090909091,-1.0,-1.0
False,False,8,96,-1.0,0.9166666666666666,-1.0,-1.0
False,False,10,82,-1.0,0.9230769230769231,-1.0,-1.0
False,False,12,17,-1.0,0.9285714285714286,-1.0,-1.0
True,False,8,71,-1.0,0.8666666666666667,-1.0,-1.0
True,True,10,39,1.0,0.8666666666666667,0.0,1.0
False,False,12,8,1.0,0.875,0.0,1.0
False,False,9,97,1.0,0.8823529411764706,0.0,1.0
True,False,12,80,1.0,0.8333333333333334,0.0,1.0
True,True,8,71,0.5,0.8333333333333334,0.0,0.5
True,False,17,74,0.5,0.7894736842105263,0.0,0.5
True,False,8,59,0.5,0.75,0.0,0.5
False,False,10,70,0.5,0.7619047619047619,0.0,0.5
False,False,9,87,0.5,0.7727272727272727,0.0,0.5
False,True,19,59,0.6666666666666666,0.7727272727272727,0.3333333333333333,0.6666666666666666
False,False,10,84,0.6666666666666666,0.782608695652174,0.3333333333333333,0.6666666666666666
True,False,17,64,0.6666666666666666,0.75,0.3333333333333333,0.6666666666666666
True,False,19,52,0.6666666666666666,0.72,0.3333333333333333,0.6666666666666666
False,False,1,42,0.6666666666666666,0.7307692307692307,0.3333333333333333,0.6666666666666666
True,True,23,64,0.75,0.7307692307692307,0.25,0.75
True,True,15,8,0.8,0.7307692307692307,0.2,0.8
True,True,13,17,0.8333333333333334,0.7307692307692307,0.16666666666666666,0.8333333333333334
True,False,24,47,0.8333333333333334,0.7037037037037037,0.16666666666666666,0.8333333333333334
False,False,15,65,0.8333333333333334,0.7142857142857143,0.16666666666666666,0.8333333333333334
True,False,9,21,0.8333333333333334,0.6896551724137931,0.16666666666666666,0.8333333333333334
False,False,26,22,0.8333333333333334,0.7,0.16666666666666666,0.8333333333333334
False,False,10,81,0.8333333333333334,0.7096774193548387,0.16666666666666666,0.8333333333333334
False,True,10,11,0.7142857142857143,0.7096774193548387,0.2857142857142857,0.7142857142857143
True,False,23,24,0.7142857142857143,0.6875,0.2857142857142857,0.7142857142857143
False,True,17,84,0.625,0.6875,0.375,0.625
True,False,18,78,0.625,0.6666666666666666,0.375,0.625
True,False,31,45,0.625,0.6470588235294118,0.375,0.625
True,False,8,49,0.625,0.6285714285714286,0.375,0.625
True,True,17,97,0.5555555555555556,0.6285714285714286,0.3333333333333333,0.5555555555555556
True,False,26,56,0.5555555555555556,0.6111111111111112,0.3333333333333333,0.5555555555555556
False,False,17,76,0.5555555555555556,0.6216216216216216,0.3333333333333333,0.5555555555555556
False,True,10,11,0.5,0.6216216216216216,0.4,0.5
False,True,15,90,0.45454545454545453,0.6216216216216216,0.45454545454545453,0.45454545454545453
False,False,15,89,0.45454545454545453,0.631578947368421,0.45454545454545453,0.45454545454545453
False,True,19,78,0.4166666666666667,0.631578947368421,0.5,0.4166666666666667
True,False,4,73,0.4166666666666667,0.6153846153846154,0.5,0.4166666666666667
True,False,19,14,0.4166666666666667,0.6,0.5,0.4166666666666667
True,True,8,87,0.38461538461538464,0.6,0.46153846153846156,0.38461538461538464
False,False,5,9,0.38461538461538464,0.6097560975609756,0.46153846153846156,0.38461538461538464
True,True,14,71,0.42857142857142855,0.6097560975609756,0.42857142857142855,0.42857142857142855
True,False,19,6,0.42857142857142855,0.5952380952380952,0.42857142857142855,0.42857142857142855
True,True,26,47,0.4666666666666667,0.5952380952380952,0.4,0.4666666666666667
False,False,10,20,0.4666666666666667,0.6046511627906976,0.4,0.4666666666666667
True,False,10,98,0.4666666666666667,0.5909090909090909,0.4,0.4666666666666667
True,True,26,47,0.5,0.5909090909090909,0.375,0.5
True,False,23,36,0.5,0.5777777777777777,0.375,0.5
True,False,17,55,0.5,0.5652173913043478,0.375,0.5
False,False,38,72,0.5,0.574468085106383,0.375,0.5
True,False,28,43,0.5,0.5625,0.375,0.5
True,False,17,51,0.5,0.5510204081632653,0.375,0.5
True,False,3,35,0.5,0.54,0.375,0.5
False,False,35,83,0.5,0.5490196078431373,0.375,0.5
True,False,19,33,0.5,0.5384615384615384,0.375,0.5
True,False,47,27,0.5,0.5283018867924528,0.375,0.5
True,False,12,53,0.5,0.5185185185185185,0.375,0.5
True,False,12,92,0.5,0.509090909090909,0.375,0.5
True,False,31,50,0.5,0.5,0.375,0.5
True,False,47,15,0.5,0.49122807017543857,0.375,0.5
True,True,37,89,0.5294117647058824,0.49122807017543857,0.35294117647058826,0.5294117647058824
True,True,44,36,0.5555555555555556,0.49122807017543857,0.3333333333333333,0.5555555555555556
True,False,19,18,0.5555555555555556,0.4827586206896552,0.3333333333333333,0.5555555555555556
False,True,53,89,0.5263157894736842,0.4827586206896552,0.3684210526315789,0.5263157894736842
False,False,10,46,0.5263157894736842,0.4915254237288136,0.3684210526315789,0.5263157894736842
True,True,51,33,0.55,0.4915254237288136,0.35,0.55
True,True,52,42,0.5238095238095238,0.4915254237288136,0.3333333333333333,0.5238095238095238
True,True,10,39,0.5454545454545454,0.4915254237288136,0.3181818181818182,0.5454545454545454
True,True,17,64,0.5217391304347826,0.4915254237288136,0.30434782608695654,0.5217391304347826
True,False,17,75,0.5217391304347826,0.48333333333333334,0.30434782608695654,0.5217391304347826
True,False,17,38,0.5217391304347826,0.47540983606557374,0.30434782608695654,0.5217391304347826
True,True,8,23,0.5416666666666666,0.47540983606557374,0.2916666666666667,0.5416666666666666
True,True,45,42,0.52,0.47540983606557374,0.28,0.52
False,False,17,66,0.52,0.4838709677419355,0.28,0.52
True,False,57,77,0.52,0.47619047619047616,0.28,0.52
True,True,19,49,0.5,0.47619047619047616,0.2692307692307692,0.5
True,True,57,18,0.5185185185185185,0.47619047619047616,0.25925925925925924,0.5185185185185185
True,True,43,46,0.5,0.47619047619047616,0.25,0.5
True,True,17,15,0.4827586206896552,0.47619047619047616,0.2413793103448276,0.4827586206896552
True,True,49,35,0.5,0.47619047619047616,0.23333333333333334,0.5
True,False,8,69,0.5,0.46875,0.23333333333333334,0.5
True,False,8,95,0.5,0.46153846153846156,0.23333333333333334,0.5
True,True,50,83,0.5161290322580645,0.46153846153846156,0.22580645161290322,0.5161290322580645
True,True,59,75,0.53125,0.46153846153846156,0.21875,0.53125
False,False,62,99,0.53125,0.4696969696969697,0.21875,0.53125
True,True,8,73,0.5151515151515151,0.4696969696969697,0.21212121212121213,0.5151515151515151
True,False,38,93,0.5151515151515151,0.4626865671641791,0.21212121212121213,0.5151515151515151
True,True,59,55,0.5,0.4626865671641791,0.20588235294117646,0.5
True,True,10,39,0.5142857142857142,0.4626865671641791,0.2,0.5142857142857142
True,False,59,4,0.5142857142857142,0.45588235294117646,0.2,0.5142857142857142
True,True,17,97,0.5,0.45588235294117646,0.19444444444444445,0.5
False,False,8,61,0.5,0.463768115942029,0.19444444444444445,0.5
True,True,17,93,0.4864864864864865,0.463768115942029,0.1891891891891892,0.4864864864864865
True,True,48,51,0.5,0.463768115942029,0.18421052631578946,0.5
True,True,8,69,0.48717948717948717,0.463768115942029,0.1794871794871795,0.48717948717948717
True,True,19,56,0.475,0.463768115942029,0.175,0.475
True,True,22,84,0.4878048780487805,0.463768115942029,0.17073170731707318,0.4878048780487805
True,True,51,59,0.47619047619047616,0.463768115942029,0.16666666666666666,0.47619047619047616
True,True,59,64,0.46511627906976744,0.463768115942029,0.16279069767441862,0.46511627906976744
False,False,22,94,0.46511627906976744,0.4714285714285714,0.16279069767441862,0.46511627906976744
True,True,59,4,0.45454545454545453,0.4714285714285714,0.1590909090909091,0.45454545454545453
True,True,17,11,0.4444444444444444,0.4714285714285714,0.15555555555555556,0.4444444444444444
False,True,26,33,0.43478260869565216,0.4714285714285714,0.17391304347826086,0.43478260869565216
False,False,8,68,0.43478260869565216,0.4788732394366197,0.17391304347826086,0.43478260869565216
False,True,60,38,0.44680851063829785,0.4788732394366197,0.19148936170212766,0.44680851063829785
False,True,42,20,0.4583333333333333,0.4788732394366197,0.20833333333333334,0.4583333333333333
True,True,19,33,0.4489795918367347,0.4788732394366197,0.20408163265306123,0.4489795918367347
True,False,59,34,0.4489795918367347,0.4722222222222222,0.20408163265306123,0.4489795918367347
True,False,4,32,0.4489795918367347,0.4657534246575342,0.20408163265306123,0.4489795918367347
True,True,17,46,0.44,0.4657534246575342,0.2,0.44
True,True,53,53,0.45098039215686275,0.4657534246575342,0.19607843137254902,0.44
True,False,17,88,0.45098039215686275,0.4594594594594595,0.19607843137254902,0.44
True,False,8,67,0.45098039215686275,0.4533333333333333,0.19607843137254902,0.44
True,True,54,70,0.4423076923076923,0.4533333333333333,0.19230769230769232,0.44
True,True,59,64,0.4339622641509434,0.4533333333333333,0.18867924528301888,0.42
True,True,53,53,0.4444444444444444,0.4533333333333333,0.18518518518518517,0.42
True,True,59,64,0.43636363636363634,0.4533333333333333,0.18181818181818182,0.4
True,True,15,8,0.44642857142857145,0.4533333333333333,0.17857142857142858,0.4
True,True,26,96,0.43859649122807015,0.4533333333333333,0.17543859649122806,0.4
False,True,8,87,0.43103448275862066,0.4533333333333333,0.1896551724137931,0.4
True,False,38,30,0.43103448275862066,0.4473684210526316,0.1896551724137931,0.4
True,True,22,20,0.423728813559322,0.4473684210526316,0.1864406779661017,0.4
True,True,75,30,0.43333333333333335,0.4473684210526316,0.18333333333333332,0.42
True,True,59,66,0.4262295081967213,0.4473684210526316,0.18032786885245902,0.42
True,True,0,19,0.43548387096774194,0.4473684210526316,0.1774193548387097,0.44
True,True,8,76,0.42857142857142855,0.4473684210526316,0.1746031746031746,0.44
True,True,21,87,0.4375,0.4473684210526316,0.171875,0.44
True,True,24,52,0.4461538461538462,0.4473684210526316,0.16923076923076924,0.44
True,False,54,62,0.4461538461538462,0.44155844155844154,0.16923076923076924,0.44
True,True,17,35,0.4393939393939394,0.44155844155844154,0.16666666666666666,0.42
True,False,59,63,0.4393939393939394,0.4358974358974359,0.16666666666666666,0.42
False,False,42,40,0.4393939393939394,0.4430379746835443,0.16666666666666666,0.42
True,True,8,4,0.43283582089552236,0.4430379746835443,0.16417910447761194,0.4
True,True,59,99,0.4264705882352941,0.4430379746835443,0.16176470588235295,0.38
True,True,59,63,0.42028985507246375,0.4430379746835443,0.15942028985507245,0.38
True,True,59,74,0.4142857142857143,0.4430379746835443,0.15714285714285714,0.36
True,True,53,53,0.4225352112676056,0.4430379746835443,0.15492957746478872,0.38
True,False,54,26,0.4225352112676056,0.4375,0.15492957746478872,0.38
